source,time,value,unit
Noah’s Apple Watch,1386,97.8,count/min
Noah’s Apple Watch,1388,101.2,count/min
Noah’s Apple Watch,1392,105.0,count/min
Noah’s Apple Watch,1395,102.0,count/min
Noah’s Apple Watch,1397,99.0,count/min
Noah’s Apple Watch,1401,114.0,count/min
Noah’s Apple Watch,1403,84.0,count/min
Noah’s Apple Watch,1406,101.0,count/min
Noah’s Apple Watch,1408,101.0,count/min
Noah’s Apple Watch,1411,71.7357,count/min
Noah’s Apple Watch,1413,73.0,count/min
Noah’s Apple Watch,1416,74.0,count/min
Noah’s Apple Watch,1421,79.0,count/min
Noah’s Apple Watch,1427,81.0,count/min
Noah’s Apple Watch,1431,83.0,count/min
Noah’s Apple Watch,1435,94.0,count/min
Noah’s Apple Watch,1436,85.0,count/min
Noah’s Apple Watch,1439,102.0,count/min
Noah’s Apple Watch,1441,103.0,count/min
Noah’s Apple Watch,1443,82.0,count/min
Noah’s Apple Watch,1446,92.0,count/min
Noah’s Apple Watch,1448,99.0,count/min
Noah’s Apple Watch,1451,102.0,count/min
Noah’s Apple Watch,1454,96.0,count/min
Noah’s Apple Watch,1457,95.0,count/min
Noah’s Apple Watch,1458,98.42857142857143,count/min
Noah’s Apple Watch,1459,97.91666666666667,count/min
Noah’s Apple Watch,1460,98.83333333333333,count/min
Noah’s Apple Watch,1461,95.83333333333333,count/min
Noah’s Apple Watch,1462,95.0,count/min
Noah’s Apple Watch,1465,93.0,count/min
Noah’s Apple Watch,1469,60.0,count/min
Noah’s Apple Watch,1474,80.66666666666667,count/min
Noah’s Apple Watch,1574,100.0,count/min
Noah’s Apple Watch,1581,98.0,count/min
Noah’s Apple Watch,1584,98.0,count/min
Noah’s Apple Watch,1588,94.0,count/min
Noah’s Apple Watch,1598,82.0,count/min
Noah’s Apple Watch,1604,119.0,count/min
Noah’s Apple Watch,1608,60.0,count/min
Noah’s Apple Watch,1611,89.0,count/min
Noah’s Apple Watch,1617,86.0,count/min
Noah’s Apple Watch,1622,82.0,count/min
Noah’s Apple Watch,1624,84.0,count/min
Noah’s Apple Watch,1630,82.4545,count/min
Noah’s Apple Watch,1631,83.0,count/min
Noah’s Apple Watch,1637,88.0,count/min
Noah’s Apple Watch,1640,84.0,count/min
Noah’s Apple Watch,1646,85.0,count/min
Noah’s Apple Watch,1652,86.0,count/min
Noah’s Apple Watch,1656,88.0,count/min
Noah’s Apple Watch,1661,79.0,count/min
Noah’s Apple Watch,1666,60.0,count/min
Noah’s Apple Watch,1672,73.0,count/min
Noah’s Apple Watch,1675,71.0,count/min
Noah’s Apple Watch,1682,67.0,count/min
Noah’s Apple Watch,1685,68.0,count/min
Noah’s Apple Watch,1688,67.0,count/min
Noah’s Apple Watch,1698,66.0,count/min
Noah’s Apple Watch,1703,73.0,count/min
Noah’s Apple Watch,1707,59.0,count/min
Noah’s Apple Watch,1709,69.0,count/min
Noah’s Apple Watch,1718,88.0,count/min
Noah’s Apple Watch,1723,75.0,count/min
Noah’s Apple Watch,1725,69.0,count/min
Noah’s Apple Watch,1730,76.0,count/min
Noah’s Apple Watch,1738,79.0,count/min
Noah’s Apple Watch,1742,90.0,count/min
Noah’s Apple Watch,1748,77.0,count/min
Noah’s Apple Watch,2232,74.0,count/min
Noah’s Apple Watch,2233,74.65485000000001,count/min
Noah’s Apple Watch,2246,79.0,count/min
Noah’s Apple Watch,2250,84.0,count/min
Noah’s Apple Watch,2258,103.0,count/min
Noah’s Apple Watch,2262,81.0,count/min
Noah’s Apple Watch,2267,74.0,count/min
Noah’s Apple Watch,2269,71.0,count/min
Noah’s Apple Watch,2277,71.0,count/min
Noah’s Apple Watch,2278,71.0,count/min
Noah’s Apple Watch,2279,73.649,count/min
Noah’s Apple Watch,2283,74.0,count/min
Noah’s Apple Watch,2290,80.0,count/min
Noah’s Apple Watch,2294,80.0,count/min
Noah’s Apple Watch,2302,78.0,count/min
Noah’s Apple Watch,2304,71.0,count/min
Noah’s Apple Watch,2309,75.0,count/min
Noah’s Apple Watch,2325,75.0,count/min
Noah’s Apple Watch,2332,69.0,count/min
Noah’s Apple Watch,2334,55.0,count/min
Noah’s Apple Watch,2346,66.0,count/min
Noah’s Apple Watch,2351,68.0,count/min
Noah’s Apple Watch,2356,68.0,count/min
Noah’s Apple Watch,2359,61.0,count/min
Noah’s Apple Watch,2365,67.0,count/min
Noah’s Apple Watch,2369,65.0,count/min
Noah’s Apple Watch,2376,72.0,count/min
Noah’s Apple Watch,2380,63.0,count/min
Noah’s Apple Watch,2383,59.0,count/min
Noah’s Apple Watch,2389,66.0,count/min
Noah’s Apple Watch,2393,62.0,count/min
Noah’s Apple Watch,2399,55.0,count/min
Noah’s Apple Watch,2407,58.0,count/min
Noah’s Apple Watch,2408,57.0,count/min
Noah’s Apple Watch,2417,54.0,count/min
Noah’s Apple Watch,2420,51.0,count/min
Noah’s Apple Watch,2422,51.0,count/min
Noah’s Apple Watch,2432,64.0,count/min
Noah’s Apple Watch,2435,59.0,count/min
Noah’s Apple Watch,2436,66.0,count/min
Noah’s Apple Watch,2438,77.0,count/min
Noah’s Apple Watch,2444,64.0,count/min
Noah’s Apple Watch,2447,86.0,count/min
Noah’s Apple Watch,2450,70.0,count/min
Noah’s Apple Watch,2456,99.0,count/min
Noah’s Apple Watch,2461,77.0,count/min
Noah’s Apple Watch,2466,78.0,count/min
Noah’s Apple Watch,2468,69.0,count/min
Noah’s Apple Watch,2472,104.0,count/min
Noah’s Apple Watch,2476,88.66666666666667,count/min
Noah’s Apple Watch,2477,87.2,count/min
Noah’s Apple Watch,2481,70.0,count/min
Noah’s Apple Watch,2487,80.0,count/min
Noah’s Apple Watch,2489,70.0,count/min
Noah’s Apple Watch,2496,85.0,count/min
Noah’s Apple Watch,2502,81.0,count/min
Noah’s Apple Watch,2503,74.0,count/min
Noah’s Apple Watch,2507,80.5842,count/min
Noah’s Apple Watch,2510,76.0,count/min
Noah’s Apple Watch,2516,77.0,count/min
Noah’s Apple Watch,2520,76.0,count/min
Noah’s Apple Watch,2525,81.0,count/min
Noah’s Apple Watch,2530,74.0,count/min
Noah’s Apple Watch,2534,78.0,count/min
Noah’s Apple Watch,2540,73.0,count/min
Noah’s Apple Watch,2543,70.0,count/min
Noah’s Apple Watch,2549,80.0,count/min
Noah’s Apple Watch,2553,77.0,count/min
Noah’s Apple Watch,2559,83.0,count/min
Noah’s Apple Watch,2567,94.0,count/min
Noah’s Apple Watch,2571,84.0,count/min
Noah’s Apple Watch,2573,81.0,count/min
Noah’s Apple Watch,2581,97.0,count/min
Noah’s Apple Watch,2587,80.0,count/min
Noah’s Apple Watch,3292,61.0,count/min
Noah’s Apple Watch,3296,59.0625,count/min
Noah’s Apple Watch,3301,51.0,count/min
Noah’s Apple Watch,3305,56.0,count/min
Noah’s Apple Watch,3308,48.0,count/min
Noah’s Apple Watch,3313,47.0,count/min
Noah’s Apple Watch,3318,47.0,count/min
Noah’s Apple Watch,3322,47.0,count/min
Noah’s Apple Watch,3328,47.0,count/min
Noah’s Apple Watch,3332,47.0,count/min
Noah’s Apple Watch,3338,47.0,count/min
Noah’s Apple Watch,3343,48.0,count/min
Noah’s Apple Watch,3347,48.0,count/min
Noah’s Apple Watch,3353,48.0,count/min
Noah’s Apple Watch,3358,49.0,count/min
Noah’s Apple Watch,3363,47.0,count/min
Noah’s Apple Watch,3368,48.0,count/min
Noah’s Apple Watch,3373,51.0,count/min
Noah’s Apple Watch,3378,48.0,count/min
Noah’s Apple Watch,3383,48.0,count/min
Noah’s Apple Watch,3389,48.0,count/min
Noah’s Apple Watch,3393,49.0,count/min
Noah’s Apple Watch,3398,49.0,count/min
Noah’s Apple Watch,3404,50.0,count/min
Noah’s Apple Watch,3408,49.0,count/min
Noah’s Apple Watch,3413,50.0,count/min
Noah’s Apple Watch,3418,49.0,count/min
Noah’s Apple Watch,3423,49.0,count/min
Noah’s Apple Watch,3428,47.0,count/min
Noah’s Apple Watch,3433,47.0,count/min
Noah’s Apple Watch,3438,47.0,count/min
Noah’s Apple Watch,3443,47.0,count/min
Noah’s Apple Watch,3448,47.0,count/min
Noah’s Apple Watch,3453,46.0,count/min
Noah’s Apple Watch,3458,47.0,count/min
Noah’s Apple Watch,3463,48.0,count/min
Noah’s Apple Watch,3467,47.1906,count/min
Noah’s Apple Watch,3468,47.0,count/min
Noah’s Apple Watch,3472,48.0,count/min
Noah’s Apple Watch,3478,49.0,count/min
Noah’s Apple Watch,3484,46.0,count/min
Noah’s Apple Watch,3488,45.0,count/min
Noah’s Apple Watch,3493,45.0,count/min
Noah’s Apple Watch,3498,46.0,count/min
Noah’s Apple Watch,3502,44.0,count/min
Noah’s Apple Watch,3508,45.0,count/min
