Unnamed: 0,source,start,end,duration,value,sub_children
27,Noah’s Iphone,2023-07-09 02:32:02 -0400,2023-07-09 09:00:09 -0400,-1 days +17:31:53,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
28,Noah’s Iphone,2023-07-09 23:54:11 -0400,2023-07-09 23:55:35 -0400,-1 days +23:58:36,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
29,Noah’s Iphone,2023-07-10 00:01:10 -0400,2023-07-10 00:12:53 -0400,-1 days +23:48:17,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
30,Noah’s Iphone,2023-07-10 00:13:49 -0400,2023-07-10 00:14:49 -0400,-1 days +23:59:00,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
31,Noah’s Iphone,2023-07-10 00:17:08 -0400,2023-07-10 00:19:32 -0400,-1 days +23:57:36,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
32,Noah’s Iphone,2023-07-10 00:28:17 -0400,2023-07-10 00:29:29 -0400,-1 days +23:58:48,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
33,Noah’s Iphone,2023-07-10 00:33:11 -0400,2023-07-10 00:34:54 -0400,-1 days +23:58:17,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
34,Noah’s Iphone,2023-07-10 00:39:57 -0400,2023-07-10 00:41:04 -0400,-1 days +23:58:53,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
35,Noah’s Iphone,2023-07-10 00:42:18 -0400,2023-07-10 00:42:29 -0400,-1 days +23:59:49,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
36,Noah’s Iphone,2023-07-10 00:46:26 -0400,2023-07-10 00:48:25 -0400,-1 days +23:58:01,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
37,Noah’s Iphone,2023-07-10 00:49:01 -0400,2023-07-10 00:50:20 -0400,-1 days +23:58:41,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
38,Noah’s Iphone,2023-07-10 01:10:24 -0400,2023-07-10 01:10:29 -0400,-1 days +23:59:55,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
39,Noah’s Iphone,2023-07-10 01:17:00 -0400,2023-07-10 01:44:31 -0400,-1 days +23:32:29,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
40,Noah’s Iphone,2023-07-10 01:45:14 -0400,2023-07-10 01:48:12 -0400,-1 days +23:57:02,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
41,Noah’s Iphone,2023-07-10 01:48:40 -0400,2023-07-10 01:50:54 -0400,-1 days +23:57:46,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
42,Noah’s Iphone,2023-07-10 01:52:00 -0400,2023-07-10 01:52:21 -0400,-1 days +23:59:39,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
43,Noah’s Iphone,2023-07-10 01:55:33 -0400,2023-07-10 01:58:01 -0400,-1 days +23:57:32,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
44,Noah’s Iphone,2023-07-10 02:11:42 -0400,2023-07-10 02:24:14 -0400,-1 days +23:47:28,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
45,Noah’s Iphone,2023-07-10 02:26:10 -0400,2023-07-10 07:26:05 -0400,-1 days +19:00:05,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
46,Noah’s Iphone,2023-07-10 07:26:17 -0400,2023-07-10 07:30:19 -0400,-1 days +23:55:58,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
47,Noah’s Iphone,2023-07-10 23:40:01 -0400,2023-07-11 00:06:27 -0400,-1 days +23:33:34,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
48,Noah’s Iphone,2023-07-11 00:12:22 -0400,2023-07-11 00:16:20 -0400,-1 days +23:56:02,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
49,Noah’s Iphone,2023-07-11 00:21:40 -0400,2023-07-11 00:27:49 -0400,-1 days +23:53:51,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
50,Noah’s Iphone,2023-07-11 00:32:22 -0400,2023-07-11 01:12:28 -0400,-1 days +23:19:54,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
51,Noah’s Iphone,2023-07-11 01:12:31 -0400,2023-07-11 01:13:37 -0400,-1 days +23:58:54,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
52,Noah’s Iphone,2023-07-11 01:32:06 -0400,2023-07-11 07:11:12 -0400,-1 days +18:20:54,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
53,Noah’s Iphone,2023-07-11 07:11:26 -0400,2023-07-11 07:29:01 -0400,-1 days +23:42:25,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
54,Noah’s Iphone,2023-07-11 23:56:14 -0400,2023-07-12 00:03:44 -0400,-1 days +23:52:30,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
55,Noah’s Iphone,2023-07-12 00:05:00 -0400,2023-07-12 00:05:11 -0400,-1 days +23:59:49,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
56,Noah’s Iphone,2023-07-12 00:06:06 -0400,2023-07-12 00:09:57 -0400,-1 days +23:56:09,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
57,Noah’s Iphone,2023-07-12 00:12:12 -0400,2023-07-12 00:12:52 -0400,-1 days +23:59:20,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
58,Noah’s Iphone,2023-07-12 00:14:00 -0400,2023-07-12 00:15:13 -0400,-1 days +23:58:47,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
59,Noah’s Iphone,2023-07-12 00:17:22 -0400,2023-07-12 00:17:27 -0400,-1 days +23:59:55,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
60,Noah’s Iphone,2023-07-12 00:17:53 -0400,2023-07-12 00:18:47 -0400,-1 days +23:59:06,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
61,Noah’s Iphone,2023-07-12 00:19:21 -0400,2023-07-12 00:20:17 -0400,-1 days +23:59:04,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
62,Noah’s Iphone,2023-07-12 00:21:17 -0400,2023-07-12 01:11:58 -0400,-1 days +23:09:19,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
63,Noah’s Iphone,2023-07-12 01:12:13 -0400,2023-07-12 01:18:58 -0400,-1 days +23:53:15,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
64,Noah’s Iphone,2023-07-12 01:22:14 -0400,2023-07-12 01:23:01 -0400,-1 days +23:59:13,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
65,Noah’s Iphone,2023-07-12 01:23:09 -0400,2023-07-12 01:23:26 -0400,-1 days +23:59:43,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
66,Noah’s Iphone,2023-07-12 01:44:20 -0400,2023-07-12 01:46:00 -0400,-1 days +23:58:20,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
67,Noah’s Apple Watch,2023-07-12 01:51:09 -0400,2023-07-12 06:02:39 -0400,-1 days +19:48:30,HKCategoryValueSleepAnalysisAsleepUnspecified,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
68,Noah’s Apple Watch,2023-07-12 06:05:09 -0400,2023-07-12 07:11:09 -0400,-1 days +22:54:00,HKCategoryValueSleepAnalysisAsleepUnspecified,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
69,Noah’s Iphone,2023-07-12 01:46:02 -0400,2023-07-12 07:42:07 -0400,-1 days +18:03:55,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
70,Noah’s Iphone,2023-07-12 22:35:30 -0400,2023-07-12 23:08:24 -0400,-1 days +23:27:06,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
71,Noah’s Iphone,2023-07-12 23:08:43 -0400,2023-07-12 23:13:35 -0400,-1 days +23:55:08,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
72,Noah’s Iphone,2023-07-12 23:13:57 -0400,2023-07-12 23:14:01 -0400,-1 days +23:59:56,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
73,Noah’s Iphone,2023-07-12 23:14:06 -0400,2023-07-12 23:16:56 -0400,-1 days +23:57:10,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
74,Noah’s Iphone,2023-07-12 23:18:35 -0400,2023-07-12 23:23:47 -0400,-1 days +23:54:48,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
75,Noah’s Iphone,2023-07-12 23:24:06 -0400,2023-07-12 23:24:58 -0400,-1 days +23:59:08,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
76,Noah’s Iphone,2023-07-12 23:25:29 -0400,2023-07-12 23:34:40 -0400,-1 days +23:50:49,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
77,Noah’s Iphone,2023-07-12 23:34:55 -0400,2023-07-12 23:45:23 -0400,-1 days +23:49:32,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
78,Noah’s Iphone,2023-07-12 23:45:48 -0400,2023-07-13 00:17:41 -0400,-1 days +23:28:07,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
79,Noah’s Iphone,2023-07-13 00:18:26 -0400,2023-07-13 00:31:45 -0400,-1 days +23:46:41,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
80,Noah’s Iphone,2023-07-13 00:32:46 -0400,2023-07-13 00:46:34 -0400,-1 days +23:46:12,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
81,Noah’s Iphone,2023-07-13 00:53:41 -0400,2023-07-13 00:59:56 -0400,-1 days +23:53:45,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
82,Noah’s Iphone,2023-07-13 01:02:29 -0400,2023-07-13 01:24:19 -0400,-1 days +23:38:10,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
83,Noah’s Apple Watch,2023-07-13 01:41:52 -0400,2023-07-13 07:30:22 -0400,-1 days +18:11:30,HKCategoryValueSleepAnalysisAsleepUnspecified,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
84,Noah’s Apple Watch,2023-07-13 07:32:52 -0400,2023-07-13 07:44:22 -0400,-1 days +23:48:30,HKCategoryValueSleepAnalysisAsleepUnspecified,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
85,Noah’s Apple Watch,2023-07-13 07:45:52 -0400,2023-07-13 07:46:52 -0400,-1 days +23:59:00,HKCategoryValueSleepAnalysisAsleepUnspecified,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
86,Noah’s Iphone,2023-07-13 01:33:32 -0400,2023-07-13 08:00:05 -0400,-1 days +17:33:27,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
87,Noah’s Iphone,2023-07-15 22:56:35 -0400,2023-07-15 22:59:15 -0400,-1 days +23:57:20,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
88,Noah’s Iphone,2023-07-15 23:03:04 -0400,2023-07-15 23:13:21 -0400,-1 days +23:49:43,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
89,Noah’s Iphone,2023-07-15 23:13:38 -0400,2023-07-15 23:15:17 -0400,-1 days +23:58:21,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
90,Noah’s Iphone,2023-07-15 23:15:21 -0400,2023-07-15 23:19:52 -0400,-1 days +23:55:29,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
91,Noah’s Iphone,2023-07-15 23:20:00 -0400,2023-07-15 23:22:32 -0400,-1 days +23:57:28,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
92,Noah’s Iphone,2023-07-15 23:24:03 -0400,2023-07-15 23:28:50 -0400,-1 days +23:55:13,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
93,Noah’s Iphone,2023-07-15 23:28:58 -0400,2023-07-15 23:31:29 -0400,-1 days +23:57:29,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
94,Noah’s Iphone,2023-07-15 23:31:39 -0400,2023-07-15 23:31:40 -0400,-1 days +23:59:59,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
95,Noah’s Iphone,2023-07-15 23:31:42 -0400,2023-07-15 23:31:43 -0400,-1 days +23:59:59,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
96,Noah’s Iphone,2023-07-15 23:31:51 -0400,2023-07-15 23:32:02 -0400,-1 days +23:59:49,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
97,Noah’s Iphone,2023-07-15 23:33:39 -0400,2023-07-15 23:34:49 -0400,-1 days +23:58:50,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
98,Noah’s Iphone,2023-07-15 23:34:55 -0400,2023-07-15 23:35:03 -0400,-1 days +23:59:52,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
99,Noah’s Iphone,2023-07-15 23:35:10 -0400,2023-07-15 23:36:13 -0400,-1 days +23:58:57,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
100,Noah’s Iphone,2023-07-15 23:36:15 -0400,2023-07-15 23:43:25 -0400,-1 days +23:52:50,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
101,Noah’s Iphone,2023-07-15 23:43:29 -0400,2023-07-15 23:44:41 -0400,-1 days +23:58:48,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
102,Noah’s Iphone,2023-07-15 23:44:46 -0400,2023-07-15 23:47:43 -0400,-1 days +23:57:03,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
103,Noah’s Iphone,2023-07-15 23:47:46 -0400,2023-07-15 23:54:22 -0400,-1 days +23:53:24,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
104,Noah’s Iphone,2023-07-15 23:55:30 -0400,2023-07-15 23:56:06 -0400,-1 days +23:59:24,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
105,Noah’s Iphone,2023-07-15 23:56:21 -0400,2023-07-15 23:59:30 -0400,-1 days +23:56:51,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
106,Noah’s Iphone,2023-07-15 23:59:34 -0400,2023-07-15 23:59:37 -0400,-1 days +23:59:57,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
107,Noah’s Iphone,2023-07-15 23:59:40 -0400,2023-07-15 23:59:45 -0400,-1 days +23:59:55,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
108,Noah’s Iphone,2023-07-15 23:59:51 -0400,2023-07-16 00:05:49 -0400,-1 days +23:54:02,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
109,Noah’s Iphone,2023-07-16 00:06:10 -0400,2023-07-16 00:17:22 -0400,-1 days +23:48:48,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
110,Noah’s Iphone,2023-07-16 00:17:59 -0400,2023-07-16 00:37:08 -0400,-1 days +23:40:51,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
111,Noah’s Iphone,2023-07-16 00:37:14 -0400,2023-07-16 00:41:46 -0400,-1 days +23:55:28,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
112,Noah’s Iphone,2023-07-16 00:41:57 -0400,2023-07-16 00:52:56 -0400,-1 days +23:49:01,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
113,Noah’s Iphone,2023-07-16 00:53:02 -0400,2023-07-16 00:53:03 -0400,-1 days +23:59:59,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
114,Noah’s Iphone,2023-07-16 00:53:44 -0400,2023-07-16 00:54:41 -0400,-1 days +23:59:03,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
115,Noah’s Iphone,2023-07-16 00:54:44 -0400,2023-07-16 01:01:53 -0400,-1 days +23:52:51,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
116,Noah’s Iphone,2023-07-16 01:01:58 -0400,2023-07-16 01:03:42 -0400,-1 days +23:58:16,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
117,Noah’s Iphone,2023-07-16 01:03:48 -0400,2023-07-16 01:06:18 -0400,-1 days +23:57:30,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
118,Noah’s Iphone,2023-07-16 01:06:24 -0400,2023-07-16 01:15:39 -0400,-1 days +23:50:45,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
119,Noah’s Iphone,2023-07-16 03:21:43 -0400,2023-07-16 03:21:55 -0400,-1 days +23:59:48,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
120,Noah’s Iphone,2023-07-16 03:23:27 -0400,2023-07-16 03:27:49 -0400,-1 days +23:55:38,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
121,Noah’s Iphone,2023-07-16 03:28:56 -0400,2023-07-16 03:29:02 -0400,-1 days +23:59:54,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
122,Noah’s Iphone,2023-07-16 03:32:46 -0400,2023-07-16 03:38:17 -0400,-1 days +23:54:29,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
123,Noah’s Iphone,2023-07-16 03:39:10 -0400,2023-07-16 03:39:31 -0400,-1 days +23:59:39,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
124,Noah’s Iphone,2023-07-16 03:40:06 -0400,2023-07-16 03:40:26 -0400,-1 days +23:59:40,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
125,Noah’s Iphone,2023-07-16 03:42:24 -0400,2023-07-16 03:43:31 -0400,-1 days +23:58:53,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
126,Noah’s Iphone,2023-07-16 03:44:56 -0400,2023-07-16 03:45:02 -0400,-1 days +23:59:54,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
