start,end,textvalue,value
2023-07-17 01:52:19 -0400,2023-07-17 01:52:43 -0400,InBed,0
2023-07-17 02:05:43 -0400,2023-07-17 03:05:43 -0400,AsleepUnspecified,1
2023-07-17 03:08:13 -0400,2023-07-17 04:38:13 -0400,AsleepUnspecified,1
2023-07-17 04:44:13 -0400,2023-07-17 06:16:13 -0400,AsleepUnspecified,1
2023-07-17 06:18:43 -0400,2023-07-17 06:52:43 -0400,AsleepUnspecified,1
2023-07-17 06:59:13 -0400,2023-07-17 07:00:43 -0400,AsleepUnspecified,1
2023-07-17 07:19:43 -0400,2023-07-17 07:25:13 -0400,AsleepUnspecified,1
2023-07-17 07:26:13 -0400,2023-07-17 07:33:43 -0400,AsleepUnspecified,1
2023-07-17 07:34:43 -0400,2023-07-17 07:55:13 -0400,AsleepUnspecified,1
2023-07-17 01:52:51 -0400,2023-07-17 07:58:23 -0400,InBed,0
2023-07-17 07:58:25 -0400,2023-07-17 07:58:34 -0400,InBed,0
2023-07-17 22:42:26 -0400,2023-07-17 23:01:59 -0400,InBed,0
2023-07-17 23:02:02 -0400,2023-07-17 23:57:41 -0400,InBed,0
2023-07-17 23:58:16 -0400,2023-07-17 23:58:58 -0400,InBed,0
2023-07-17 23:59:07 -0400,2023-07-18 00:05:01 -0400,InBed,0
2023-07-18 00:05:04 -0400,2023-07-18 00:05:05 -0400,InBed,0
2023-07-18 00:06:42 -0400,2023-07-18 00:07:28 -0400,InBed,0
2023-07-18 00:08:02 -0400,2023-07-18 00:11:58 -0400,InBed,0
2023-07-18 00:11:59 -0400,2023-07-18 00:44:34 -0400,InBed,0
2023-07-18 00:54:14 -0400,2023-07-18 03:36:44 -0400,AsleepUnspecified,1
2023-07-18 03:37:44 -0400,2023-07-18 03:45:44 -0400,AsleepUnspecified,1
2023-07-18 03:47:14 -0400,2023-07-18 03:48:14 -0400,AsleepUnspecified,1
2023-07-18 03:54:14 -0400,2023-07-18 04:56:14 -0400,AsleepUnspecified,1
